artist,album_title,track_title,track_n,lyric,line
the beatles,please please me,I Saw Her Standing There,1,"1, 2, 3, 4!",1
the beatles,please please me,I Saw Her Standing There,1,"Well, she was just 17",2
the beatles,please please me,I Saw Her Standing There,1,And you know what I mean,3
the beatles,please please me,I Saw Her Standing There,1,And the way she looked,4
the beatles,please please me,I Saw Her Standing There,1,Was way beyond compare,5
the beatles,please please me,I Saw Her Standing There,1,So how could I dance with another (Ooh),6
the beatles,please please me,I Saw Her Standing There,1,When I saw her standing there?,7
the beatles,please please me,I Saw Her Standing There,1,"Well, she looked at me",8
the beatles,please please me,I Saw Her Standing There,1,"And I, I could see",9
the beatles,please please me,I Saw Her Standing There,1,That before too long,10
the beatles,please please me,I Saw Her Standing There,1,I'd fall in love with her,11
the beatles,please please me,I Saw Her Standing There,1,She wouldn't dance with another (Woo),12
the beatles,please please me,I Saw Her Standing There,1,When I saw her standing there,13
the beatles,please please me,I Saw Her Standing There,1,"Well, my heart went ""boom""",14
the beatles,please please me,I Saw Her Standing There,1,When I crossed that room,15
the beatles,please please me,I Saw Her Standing There,1,And I held her hand in mine,16
the beatles,please please me,I Saw Her Standing There,1,"Well, we danced through the night",17
the beatles,please please me,I Saw Her Standing There,1,And we held each other tight,18
the beatles,please please me,I Saw Her Standing There,1,And before too long I fell in love with her,19
the beatles,please please me,I Saw Her Standing There,1,"Now, I'll never dance with another (Woo)",20
the beatles,please please me,I Saw Her Standing There,1,When I saw her standing there,21
the beatles,please please me,I Saw Her Standing There,1,"Well, my heart went ""boom""",22
the beatles,please please me,I Saw Her Standing There,1,When I crossed that room,23
the beatles,please please me,I Saw Her Standing There,1,And I held her hand in mine,24
the beatles,please please me,I Saw Her Standing There,1,"Oh, we danced through the night",25
the beatles,please please me,I Saw Her Standing There,1,And we held each other tight,26
the beatles,please please me,I Saw Her Standing There,1,And before too long,27
the beatles,please please me,I Saw Her Standing There,1,I fell in love with her,28
the beatles,please please me,I Saw Her Standing There,1,Now I'll never dance with another (Woo),29
the beatles,please please me,I Saw Her Standing There,1,Since I saw her standing there,30
the beatles,please please me,I Saw Her Standing There,1,"Oh, since I saw her standing there",31
the beatles,please please me,I Saw Her Standing There,1,"Yeah, well, since I saw her standing there",32
the beatles,please please me,Misery,2,"The world is treating me bad, misery",1
the beatles,please please me,Misery,2,I'm the kind of guy,2
the beatles,please please me,Misery,2,Who never used to cry,3
the beatles,please please me,Misery,2,"The world is treating me bad, misery",4
the beatles,please please me,Misery,2,I've lost her now for sure,5
the beatles,please please me,Misery,2,I won't see her no more,6
the beatles,please please me,Misery,2,"It's going to be a drag, misery",7
the beatles,please please me,Misery,2,I'll remember all the little things we've done,8
the beatles,please please me,Misery,2,"Can't she see she'll always be the only one, only one",9
the beatles,please please me,Misery,2,Send her back to me,10
the beatles,please please me,Misery,2,Cause everyone can see,11
the beatles,please please me,Misery,2,Without her I will be in misery,12
the beatles,please please me,Misery,2,I'll remember all the little things we've done,13
the beatles,please please me,Misery,2,"She'll remember and she'll miss her only one, lonely one",14
the beatles,please please me,Misery,2,Send her back to me,15
the beatles,please please me,Misery,2,Cause everyone can see,16
the beatles,please please me,Misery,2,Without her I will be in misery (oh oh oh),17
the beatles,please please me,Misery,2,In misery (ooh ee ooh ooh),18
the beatles,please please me,Misery,2,My misery (la la la la la la),19
the beatles,please please me,Anna (Go To Him),3,Anna,1
the beatles,please please me,Anna (Go To Him),3,"You come and ask me, girl",2
the beatles,please please me,Anna (Go To Him),3,"To set you free, girl",3
the beatles,please please me,Anna (Go To Him),3,You say he loves you more than me,4
the beatles,please please me,Anna (Go To Him),3,So I will set you free,5
the beatles,please please me,Anna (Go To Him),3,Go with him,6
the beatles,please please me,Anna (Go To Him),3,Go with him,7
the beatles,please please me,Anna (Go To Him),3,Anna,8
the beatles,please please me,Anna (Go To Him),3,"Girl, before you go now",9
the beatles,please please me,Anna (Go To Him),3,"I want you to know, now",10
the beatles,please please me,Anna (Go To Him),3,That I still love you so,11
the beatles,please please me,Anna (Go To Him),3,But if he loves you more,12
the beatles,please please me,Anna (Go To Him),3,Go with him,13
the beatles,please please me,Anna (Go To Him),3,All of my life,14
the beatles,please please me,Anna (Go To Him),3,I've been searching for a girl,15
the beatles,please please me,Anna (Go To Him),3,To love me like I love you,16
the beatles,please please me,Anna (Go To Him),3,"Oh, now, but every girl I've ever had",17
the beatles,please please me,Anna (Go To Him),3,Breaks my heart and leaves my sad,18
the beatles,please please me,Anna (Go To Him),3,"What am I, what am I supposed to do",19
the beatles,please please me,Anna (Go To Him),3,Anna,20
the beatles,please please me,Anna (Go To Him),3,"Just one more thing, girl",21
the beatles,please please me,Anna (Go To Him),3,"You give back your ring to me, and I will set you free",22
the beatles,please please me,Anna (Go To Him),3,Go with him,23
the beatles,please please me,Anna (Go To Him),3,All of my life,24
the beatles,please please me,Anna (Go To Him),3,I've been searching for a girl,25
the beatles,please please me,Anna (Go To Him),3,To love me like I love you,26
the beatles,please please me,Anna (Go To Him),3,But let me tell you now,27
the beatles,please please me,Anna (Go To Him),3,But every girl I've ever had,28
the beatles,please please me,Anna (Go To Him),3,Breaks my heart and leave me sad,29
the beatles,please please me,Anna (Go To Him),3,"What am I, what am I supposed to do ohh",30
the beatles,please please me,Anna (Go To Him),3,Anna,31
the beatles,please please me,Anna (Go To Him),3,"Just one more thing, girl",32
the beatles,please please me,Anna (Go To Him),3,"You give back your ring to me, and I will set you free",33
the beatles,please please me,Anna (Go To Him),3,Go with him,34
the beatles,please please me,Anna (Go To Him),3,Go with him,35
the beatles,please please me,Anna (Go To Him),3,"You can go with him, girl",36
the beatles,please please me,Anna (Go To Him),3,Go with him,37
the beatles,please please me,Chains,4,"Chains, my baby's got me locked up in chains",1
the beatles,please please me,Chains,4,And they ain't the kind that you can see,2
the beatles,please please me,Chains,4,"Whoa, oh, these chains of love got a hold on me, yeah",3
the beatles,please please me,Chains,4,"Chains, well I can't break away from these chains",4
the beatles,please please me,Chains,4,"Can't run around, 'cause I'm not free",5
the beatles,please please me,Chains,4,"Whoa, oh, these chains of love won't let me be, yeah",6
the beatles,please please me,Chains,4,"I wanna tell you, pretty baby",7
