magnitude,score,album_title,track_title,lyrics
0.9,0.2,please please me,I Saw Her Standing There,"1, 2, 3, 4!
Well, she was just 17
And you know what I mean
And the way she looked
Was way beyond compare
So how could I dance with another (Ooh)
When I saw her standing there?
Well, she looked at me
And I, I could see
That before too long
I'd fall in love with her
She wouldn't dance with another (Woo)
When I saw her standing there
Well, my heart went ""boom""
When I crossed that room
And I held her hand in mine
Well, we danced through the night
And we held each other tight
And before too long I fell in love with her
Now, I'll never dance with another (Woo)
When I saw her standing there
Well, my heart went ""boom""
When I crossed that room
And I held her hand in mine
Oh, we danced through the night
And we held each other tight
And before too long
I fell in love with her
Now I'll never dance with another (Woo)
Since I saw her standing there
Oh, since I saw her standing there
Yeah, well, since I saw her standing there"
0.6,-0.6,please please me,Misery,"The world is treating me bad, misery
I'm the kind of guy
Who never used to cry
The world is treating me bad, misery
I've lost her now for sure
I won't see her no more
It's going to be a drag, misery
I'll remember all the little things we've done
Can't she see she'll always be the only one, only one
Send her back to me
Cause everyone can see
Without her I will be in misery
I'll remember all the little things we've done
She'll remember and she'll miss her only one, lonely one
Send her back to me
Cause everyone can see
Without her I will be in misery (oh oh oh)
In misery (ooh ee ooh ooh)
My misery (la la la la la la)"
0.5,0.5,please please me,Anna (Go To Him),"Anna
You come and ask me, girl
To set you free, girl
You say he loves you more than me
So I will set you free
Go with him
Go with him
Anna
Girl, before you go now
I want you to know, now
That I still love you so
But if he loves you more
Go with him
All of my life
I've been searching for a girl
To love me like I love you
Oh, now, but every girl I've ever had
Breaks my heart and leaves my sad
What am I, what am I supposed to do
Anna
Just one more thing, girl
You give back your ring to me, and I will set you free
Go with him
All of my life
I've been searching for a girl
To love me like I love you
But let me tell you now
But every girl I've ever had
Breaks my heart and leave me sad
What am I, what am I supposed to do ohh
Anna
Just one more thing, girl
You give back your ring to me, and I will set you free
Go with him
Go with him
You can go with him, girl
Go with him"
0.2,-0.2,please please me,Chains,"Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah
Chains, well I can't break away from these chains
Can't run around, 'cause I'm not free
Whoa, oh, these chains of love won't let me be, yeah
I wanna tell you, pretty baby
I think you're fine
I'd like to love you
But, darling, I'm imprisoned by these
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah
Please believe me when I tell you
Your lips are sweet
I'd like to kiss them
But I can't break away from all of these
Chains, my baby's got me locked up in chains
And they ain't the kind that you can see
Whoa, oh, these chains of love got a hold on me, yeah
Chains, chains of love"
2.8,0.5,please please me,Boys,"I been told when a boy kiss a girl
Take a trip around the world
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)
Well, I talk about boys (yeah, yeah, boys)
Don't ya know I mean boys (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
Aaahhh, boys (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
What a bundle of joy! (yeah, yeah, boys)
(Alright, George!)
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)
Well, I talk about boys (yeah, yeah, boys)
Don't ya know I mean boys (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
Aaahhh (yeah, yeah, boys)
Well, I talk about boys, now (yeah, yeah, boys)
What a bundle of joy! (yeah, yeah, boys)
Oh, oh, ah yeah boys (yeah, yeah, boys)
Don't ya know I mean boys? (yeah, yeah, boys)
Ooh, boys (yeah, yeah, boys)
Ah ha (yeah, yeah, boys)
Well I talk about boys now (yeah, yeah, boys)"
0,0,please please me,Ask Me Why,"I love you, because you tell me things I want to know
And it's true that it really only goes to show
That I know
That I, I, I, I
Should never, never, never be blue
Now you're mine, my happiness still makes me cry
And in time, you'll understand the reason why
If I cry
It's not because I'm sad
But you're the only love that I've ever had
I can't believe it's happened to me
I can't conceive of any more misery
Ask me why, I'll say I love you
And I'm always thinking of you
I love you, because you tell me things I want to know
And it's true that it really only goes to show
That I know
That I, I, I, I
Should never, never, never be blue
Ask me why, I'll say I love you
And I'm always thinking of you
I can't believe it's happened to me
I can't conceive of any more misery
Ask me why, I'll say I love you
And I'm always thinking of you"
1.1,0,please please me,Please Please Me,"Last night I said these words to my girl
I know you never even try girl
Come on (Come on) Come on (Come on) Come on (Come on) Come on (Come on)
Please please me, whoa yeah, like I please you
You don't need me to show the way, love
Why do I always have to say, love
Come on (Come on) Come on (Come on) Come on (Come on) Come on (Come on)
Please please me, whoa yeah, like I please you?
I don't want to sound complaining
But you know there's always rain in my heart (in my heart)
I do all the pleasing with you it's so hard to reason
With you, whoa yeah, why do you make me blue?
Last night I said these words to my girl
I know you never even try girl
Come on (Come on) Come on (Come on) Come on (Come on) Come on (Come on)
Please, please me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please you
Me, whoa yeah, like I please you"
0.8,0.8,please please me,Love Me Do,"Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Someone to love
Somebody new
Someone to love
Someone like you
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Yeah, love me do
Whoa, oh, love me do
Yeah, love me do
Why don't you love me do"
4.7,0.9,please please me,P.S. I Love You,"As I write this letter
Send my love to you
Remember that I'll always
Be in love with you
Treasure these few words till we're together
Keep all my love forever
P.S. I love you
You, you, you
I'll be coming home again to you, love
And till the day I do, love
P.S. I love you
You, you, you
As I write this letter
Send my love to you
Remember that I'll always
Be in love with you
Treasure these few words till we're together
Keep all my love forever
P.S. I love you
You, you, you
As I write this letter
Send my love to you
Remember that I'll always
Be in love with you
I'll be coming home again to you, love
And till the day I do, love
P.S. I love you
You, you, you"
1.8,-0.4,please please me,Baby It's You,"Sha la la la la la la la
Sha la la la la la la la
Sha la la la la la la la
Sha la la la la
It's not the way you smile that touched my heart (sha la la la la)
It's not the way you kiss that tears me apart
Uh, oh, many, many, many nights go by
I sit alone at home and I cry over you
What can I do?
Can't help myself, 'cause baby, it's you (sha la la la la la la)
Baby, it's you (sha la la la la la la)
You should hear what they say about you, ""cheat,"" ""cheat""
They say, they say you never never never ever been true (cheat cheat)
Uh oh
It doesn't matter what they say
I know I'm going to love you any old way
What can I do, and it's true
Don't want nobody, nobody, 'cause baby, it's you (sha la la la la la la)
Baby, it's you (sha la la la la la la)
Uh oh
It doesn't matter what they say
I know I'm gonna love you any old way
What can I do, when it's true
Don't want nobody, nobody, 'cause baby, it's you. (sha la la la la la la)
Baby, it's you. (sha la la la la la la)
Don't leave me all alone
Come on home..."
